Original,Closest Match,Similarity Ratio
Deus Ex Game of the Year Edition,Deus Ex: Game of the Year Edition,0.98
Deus Ex Invisible War,Deus Ex: Invisible War,0.98
Deus Ex The Fall,Deus Ex: The Fall,0.97
DiRT 3 Complete Edition,Major\Minor - Complete Edition,0.72
DmC Devil May Cry,DmC: Devil May Cry,0.97
Draw a Stickman EPIC,Draw a Stickman: EPIC,0.98
E Y E Divine Cybermancy,E.Y.E: Divine Cybermancy,0.89
Endless Space,Endless Space® 2,0.9
F E A R  Extraction Point,ROM: Extraction,0.6
F E A R  Perseus Mandate,,0.0
Fallen Enchantress Legendary Heroes,Fallen Enchantress: Legendary Heroes,0.99
Far Cry,Far Cry®,0.93
Far Cry 2 Fortunes Pack,Far Cry® 2: Fortune's Edition,0.73
Fieldrunners 2, Fieldrunners 2,0.97
Finding Teddy Soundtrack,Finding Teddy,0.7
Galcon Fusion,Trials Fusion™,0.67
GameGuru   Buildings Pack,,0.0
Giana Sisters Twisted Dreams,Giana Sisters: Twisted Dreams,0.98
Giana Sisters Twisted Dreams   Rise of the Owlverlord,Giana Sisters: Twisted Dreams - Rise of the Owlverlord,0.97
Gigantic Army,GeminiArms,0.61
Gotham City Impostors Free To Play,Gotham City Impostors Free to Play,0.97
Gothic,Gothic 1,0.86
Gothic 3,Gothic® 3,0.94
Gothic II Gold Edition,Gothic II: Gold Edition,0.98
GRID,GRID 2,0.8
GRID 2 GTR Racing Pack,,0.0
Guardians of Middle earth,Guardians of Life VR,0.71
Half Life 2 Deathmatch,Half-Life 2: Deathmatch,0.93
Half Life 2 Update,Half-Life 2,0.69
Half Life Source,Half-Life: Source,0.91
Hitman 2 Silent Assassin,Hitman 2: Silent Assassin,0.98
Hitman Blood Money,Hitman: Blood Money,0.97
Hitman Codename 47,Hitman: Codename 47,0.97
Hitman Contracts,Hitman: Contracts,0.97
Hitman Sniper Challenge,Mutant Mudds Super Challenge,0.71
Injustice Gods Among Us Ultimate Edition,Injustice: Gods Among Us Ultimate Edition,0.99
INK   Soundtrack   Art,,0.0
Kane   Lynch 2 Dog Days,Kane & Lynch 2: Dog Days,0.94
Killer is Dead,Love is Dead,0.69
Kingdoms of Amalur Reckoning,Kingdoms of Amalur: Reckoning™,0.97
LEGO Batman The Videogame,LEGO® Batman™: The Videogame,0.94
LEGO Harry Potter Years 5 7,LEGO® Harry Potter: Years 5-7,0.93
LEGO MARVEL Super Heroes,LEGO® Marvel™ Super Heroes,0.76
Medal of Honor TM  Multiplayer,Virtual Pool 4 Multiplayer,0.61
Medal of Honor TM  Single Player,Poker World - Single Player,0.64
Medal of Honor Pre Order,Medal of Honor: Airborne,0.71
Mercenary Kings,The Mercenary Rise,0.73
Mortal Kombat Kollection,Mortal Kombat X,0.72
MURDERED SOUL SUSPECT,,0.0
Never Alone Original Soundtrack,,0.0
Nosgoth,Hopscotch,0.62
Ori and the Blind Forest  Original Soundtrack ,Ori and the Blind Forest: Definitive Edition,0.67
Outland,Mutland,0.86
PAYDAY The Heist,PAYDAY™ The Heist,0.97
Pixel Heroes Byte   Magic,Pixel Heroes: Byte & Magic,0.94
Pixel Piracy,Pixel Space,0.7
Rebuild Gangs of Deadsville   Deluxe DLC,Rebuild 3: Gangs of Deadsville,0.77
Red Faction Armageddon,Red Faction®: Armageddon™,0.94
Red Faction Guerrilla Steam Edition,Red Faction Guerrilla Re-Mars-tered,0.71
Resident Evil 5   Biohazard 5,Resident Evil™ 5/ Biohazard 5®,0.92
Rochard,Northgard,0.62
RollerCoaster Tycoon 3 Platinum ,RollerCoaster Tycoon® Classic,0.79
RPG Maker Luna Engine,RPG Maker VX Ace,0.65
Saints Row Gat out of Hell,Saints Row: Gat out of Hell,0.98
