Original,Closest Match,Similarity Ratio
Vegas Make It Big,Vegas: Make It Big™,0.94
Warlock   Master of the Arcane Powerful Lords,Warlock - Master of the Arcane,0.77
Zombie Driver,Zombie Driver HD,0.9
NBA 2K15,NBA 2K19,0.88
NASCAR  14,NASCAR Heat 3,0.7
Uncharted Waters Online Gran Atlas,Uncharted Waters Online,0.81
Magic The Gathering   Duels of the Planeswalkers 2013,Magic: The Gathering - Duels of the Planeswalkers 2013,0.97
DYNASTY WARRIORS 8 Xtreme Legends Complete Edition,DYNASTY WARRIORS 8: Xtreme Legends Complete Edition / 真・三國無双７ with 猛将伝,0.83
Agarest Generations of War,Agarest: Generations of War,0.98
NARUTO SHIPPUDEN Ultimate Ninja STORM Revolution,NARUTO SHIPPUDEN: Ultimate Ninja STORM Revolution,0.99
Hyperdimension Neptunia Re Birth1,Hyperdimension Neptunia U: Action Unleashed,0.68
Resident Evil Operation Raccoon City,Resident Evil: Operation Raccoon City,0.99
Shufflepuck Cantina Deluxe VR,Shufflepuck Cantina Deluxe,0.95
Strider,Strid,0.83
Onimusha 3 Demon Siege,Onikira - Demon Killer,0.64
Double Dragon Neon,Double Dragon: Neon,0.97
FINAL FANTASY TYPE 0 HD,FINAL FANTASY TYPE-0™ HD,0.94
Dungeons   Dragons Chronicles of Mystara,Dungeons & Dragons: Chronicles of Mystara,0.96
DOOM 3 BFG Edition,Doom 3: BFG Edition,0.81
TrackMania Canyon,TrackMania² Canyon,0.97
Hero Academy,Cop Academy,0.78
Retro City Rampage DX,Retro City Rampage™ DX,0.98
Warhammer 40 000 Regicide,"Warhammer 40,000: Regicide",0.94
Agarest   Basic Adventure Pack DLC,,0.0
Agarest   Dull Things Pack DLC,,0.0
Agarest   Fallen Angel Pack DLC,,0.0
Agarest   Legendary Monster Pack DLC,,0.0
Agarest   Magic Fight Pack DLC,,0.0
Agarest   Upgrade Pack 1 DLC,,0.0
Castle Crashers   Blacksmith Pack,Castle Crashers®,0.61
Castle Crashers   Pink Knight Pack,Castle Crashers®,0.6
Castlevania Lords of Shadow 2,Castlevania: Lords of Shadow 2,0.98
Crazy Machines 2   Jewel Digger DLC,Crazy Machines 2,0.63
Crazy Machines 2 Fluid Add On,Crazy Machines 2,0.71
Hyperdimension Neptunia Re Birth2 Sisters Generation,"Hyperdimension Neptunia Re,Birth2: Sisters Generation / 超次次元ゲイム ネプテューヌRe,Birth2 / 超次次元遊戲 戰機少女 重生2",0.68
PewDiePie Legend of the Brofist,PewDiePie: Legend of the Brofist,0.98
South Park The Stick of Truth   Super Samurai Spaceman Pack,South Park™: The Stick of Truth™,0.64
South Park The Stick of Truth   Ultimate Fellowship Pack,South Park™: The Stick of Truth™,0.66
Vanguard Princess Director s Cut,Vanguard Princess,0.69
Warhammer Quest   Base Pack items,Warhammer Quest 2: The End Times,0.71
Batman Arkham Knight,Batman™: Arkham Knight,0.95
Batman Arkham Origins    Online Supply Drop 1,Batman™: Arkham Origins,0.62
Batman Arkham Origins   Online Supply Drop 2,Batman™: Arkham Origins,0.63
Batman Arkham Origins Blackgate   Deluxe Edition,Batman™: Arkham Origins Blackgate - Deluxe Edition,0.96
Supreme Commander 2   Infinite War Battle Pack One,,0.0
Heroes of Might   Magic III   HD Edition,Heroes® of Might & Magic® III - HD Edition,0.93
Football Manager 2010,Football Manager 2019,0.95
City of Steam Arkadia,City of the Shroud,0.56
Dogs of War Online   Beta,Dogs of War Online,0.84
Dungeons   Dragons Online,Dungeons & Dragons Online®,0.94
Global Agenda,Global Adventures,0.67
Infinity Wars   Animated Trading Card Game,Infinity Wars: Animated Trading Card Game,0.96
Jagged Alliance Online   Steam Edition,Jagged Alliance 1: Gold Edition,0.72
Jagged Alliance Online Raven Pack,Jagged Alliance Flashback,0.72
RaiderZ,Tomb Raider,0.67
Puzzle Quest,Puzzle Cube,0.78
Droplitz,Orblitz,0.67
Assassin s Creed,Assassin’s Creed® Rogue,0.77
Lead and Gold   Gangs of the Wild West,Lead and Gold: Gangs of the Wild West,0.96
Castlevania Lords of Shadow 2   Dark Dracula Costume,Castlevania: Lords of Shadow 2,0.71
Race The WTCC Game,RACE - The WTCC Game,0.79
RACE Caterham Expansion,RACE: Caterham Expansion,0.98
Majesty 2 Collection,Mahjong Quest Collection,0.77
King Arthur Collection,King's Quest™ Collection,0.74
Neverwinter Nights 2 Platinum,Neverwinter Nights: Enhanced Edition,0.71
Bunch Of Heroes,Bunch of Heroes,0.93
Dungeonland   All access pass,,0.0
Europa Universalis IV American Dream DLC,Europa Universalis IV,0.69
Europa Universalis IV Conquistadors Unit pack ,Europa Universalis IV,0.63
Europa Universalis IV National Monuments II,Europa Universalis IV,0.66
Europa Universalis IVNative Americans Unit Pack,Europa Universalis IV,0.62
Europa Universalis IV Songs of the New World,Europa Universalis IV,0.65
Fractal Make Blooms Not War,Fractal: Make Blooms Not War,0.98
King s Bounty Armored Princess,King's Bounty: Armored Princess,0.95
King s Bounty Crossworlds,King's Bounty: Crossworlds,0.94
King s Bounty The Legend,King's Bounty: The Legend,0.94
Leviathan Warships,Leviathan,0.67
Lightfish,Lightrise™,0.74
Victoria Revolutions,Worms Revolution,0.72
Victoria II Interwar Cavalry Unit Pack,,0.0
Speedball 2 Tournament,Freefall Tournament,0.78
MoW Face Off M,,0.0
Dominions 4,Domino,0.71
God Mode,God Monster,0.74
Fallout 2,Fallout 4,0.89
Fallout Tactics,Falnarion Tactics,0.75
Crusader Kings II Hymns of Abraham,Crusader Kings II,0.67
Crusader Kings II Military Orders Unit Pack,,0.0
Crusader Kings II Sons of Abraham,Crusader Kings II,0.68
Crusader Kings II Warriors of Faith Unit Pack,,0.0
Warhammer 40 000 Dawn of War  Soulstorm,"Warhammer® 40,000: Dawn of War® - Soulstorm",0.93
Adventures of Bertram Fiddle Episode 1 A Dreadly Business,Adventures of Bertram Fiddle: Episode 1: A Dreadly Business,0.98
Warmachine Tactics,Hartacon Tactics,0.76
Call of Duty World at War,Call of Duty: World at War,0.98
Dead Rising 2,Dead Rising® 2,0.96
Train Simulator,Trainz™ Simulator 12,0.86
Farming Simulator 2013,Farming Simulator 2011,0.95
The Bureau XCOM Declassified,The Bureau: XCOM Declassified,0.98
FINAL FANTASY XIV A Realm Reborn,FINAL FANTASY X/X-2 HD Remaster,0.7
Before the Echo,There Came an Echo,0.61
DUNGEONS   Steam Special Edition,Patrician IV - Steam Special Edition,0.71
Divinity Dragon Commander,Divinity: Dragon Commander,0.98
Bionic Commando Rearmed,Bionic Commando: Rearmed,0.98
Colin McRae Rally,Looney Rally,0.62
DUNGEONS   The Dark Lord  Steam Special Edition ,The First Templar - Steam Special Edition,0.65
FINAL FANTASY XIV A Realm Reborn  NA version ,FINAL FANTASY XIV Online,0.55
Lost Planet 3,Lost Planet® 2,0.89
Max Payne 3 Season Pass,Max Payne 3,0.65
MEDIEVAL Total War   Gold Edition,Venetica - Gold Edition,0.54
Operation Flashpoint Dragon Rising,Operation Flashpoint: Dragon Rising,0.99
Operation Flashpoint Red River,Operation Flashpoint: Dragon Rising,0.74
Prince of Persia The Two Thrones,Prince of Persia: The Two Thrones™,0.97
Prince of Persia Warrior Within,Prince of Persia: Warrior Within™,0.97
Red Faction Armageddon Soundtrack,Red Faction®: Armageddon™,0.76
SHOGUN Total War   Gold Edition,SHOGUN: Total War™ - Collection,0.77
Tropico 3   Steam Special Edition,Patrician IV - Steam Special Edition,0.78
TUG,,0.0
X COM Apocalypse,X-COM: Apocalypse,0.91
X COM Enforcer,X-COM: Enforcer,0.9
X COM Interceptor,X-COM: Interceptor,0.91
X COM Terror from the Deep,X-COM: Terror From the Deep,0.91
X COM UFO Defense,X-COM: UFO Defense,0.91
Metal War Online Retribution,Metal War Online: Retribution,0.98
Frozen Hearth,Frozen Cortex,0.69
Call of Duty 4 Modern Warfare,Call of Duty® 4: Modern Warfare®,0.95
War of the Vikings,Scream of the Viking,0.79
GameLoading Rise of the Indies,Rise of the Ancients,0.64
Space Hack,Space Hulk,0.8
Dragomon Hunter,Dragon Hunter,0.93
Dragomon Hunter   Welcome Gift,Dragon Hunter,0.6
Landmark,Land War,0.75
Indiana Jones and the Fate of Atlantis,Indiana Jones® and the Fate of Atlantis™,0.97
The Dig,The Dig®,0.93
Indiana Jones and the Last Crusade,Indiana Jones® and the Last Crusade™,0.97
Loom,Logos,0.67
Baldur s Gate Enhanced Edition,Baldur's Gate: Enhanced Edition,0.95
Another World,Yet Another World,0.87
Baldur s Gate II Enhanced Edition,Baldur's Gate II: Enhanced Edition,0.96
Mark of the Ninja Special Edition DLC,Lords of Magic: Special Edition,0.65
Painkiller Black Edition,Painkiller Redemption,0.71
Painkiller Resurrection,Painkiller: Resurrection,0.98
Total War Battles SHOGUN,Total War Battles: KINGDOM,0.76
Star Trek D A C,Star Trek Online,0.65
Age of Conan Unchained   EU version,Age of Conan: Unchained,0.76
Devilian,Deiland,0.8
Sphere III Enchanted World,The Inner World,0.63
Dragon s Prophet  EU ,Dragon's Prophet,0.81
Echo of Soul,Echo of Combats,0.67
Gold Package,Gold key,0.7
Metal Reaper Online,Mortal Online,0.69
East India Company Gold,East India Company,0.88
Gems of War,Faces of War,0.78
9 Clues 2 The Ward,9 Clues 2: The Ward,0.97
Curse The Eye of Isis,Curse: The Eye of Isis,0.98
Stealth Inc 2,Storage Inc 2,0.69
Sniper Ghost Warrior 2 World Hunter Pack,Sniper: Ghost Warrior 2,0.7
Car Mechanic Simulator 2015   PickUp   SUV DLC,Car Mechanic Simulator 2015,0.74
Car Mechanic Simulator 2015   TraderPack,Car Mechanic Simulator 2015,0.81
Car Mechanic Simulator 2015   Visual Tuning,Car Mechanic Simulator 2015,0.77
Car Mechanic Simulator 2015   Youngtimer,Car Mechanic Simulator 2015,0.81
Galcon 2,Falcon,0.71
AI War Fleet Command,AI War: Fleet Command,0.98
Back to Dinosaur Island ,DinosaurIsland,0.74
Ultimate General Gettysburg,Ultimate General: Gettysburg,0.98
An Alternative Reality The Football Manager Documentary,,0.0
Commander Conquest of the Americas Gold,Commander: Conquest of the Americas,0.92
Elite Dangerous Horizons,Elite Dangerous,0.77
Europa Universalis III Divine Wind,Europa Universalis III Complete,0.74
Europa Universalis III Heir to the Throne,Europa Universalis III Complete,0.72
Galactic Civilizations II Ultimate Edition,Galactic Civilizations® II: Ultimate Edition,0.98
Hearts of Iron III German II Sprite Pack,Hearts of Iron III,0.62
PixelJunk Monsters Ultimate,PixelJunk™ Monsters Ultimate,0.98
The Incredible Adventures of Van Helsing Thaumaturge,The Incredible Adventures of Van Helsing,0.87
Football Manager 2016 Demo,Football Manager 2019,0.85
Secret of the Magic Crystal,Secret of the Magic Crystals,0.98
Krosmaster Arena,Bomber Arena,0.71
Battle Battalions,Battle Motion,0.73
NASCAR  15 Paint Pack 1,,0.0
Pro Evolution Soccer 2015,Hacker Evolution Source Code,0.64
Esenthel Engine,Devil Engine,0.67
FINAL FANTASY XIV A Realm Reborn  PAL version ,FINAL FANTASY XIV Online,0.54
Street Fighter IV,Street Fighter® IV,0.97
Planetary Annihilation TITANS,Planetary Annihilation: TITANS,0.98
World in Conflict Soviet Assault,,0.0
Unreal Tournament 3 Black Edition,Unreal Tournament 3 Black,0.86
Magic 2015,Magicka 2,0.74
World in Conflict,Terminal Conflict,0.71
Modular Combat,Modern Combat 5,0.76
Mystery PI The Vegas Heist,Mystery P.I.™ - The Vegas Heist,0.91
Mystery P I  The Lottery Ticket,Mystery P.I.™ - The Lottery Ticket,0.89
Mishap An Accidental Haunting,,0.0
Chuzzle Deluxe,Peggle Deluxe,0.67
The Wizard s Pen,The Wizard's Pen™,0.91
Amazing Adventures The Lost Tomb,Amazing Adventures The Lost Tomb™,0.98
Big Money  Deluxe,Tiny Force Deluxe,0.65
Talismania Deluxe,Tangrams Deluxe,0.62
Dynomite  Deluxe,Dynamite Alex,0.69
Bejeweled Deluxe,Bejeweled® 3,0.71
Feeding Frenzy 2 Shipwreck Showdown Deluxe,,0.0
Bejeweled 2 Deluxe,Bejeweled® 3,0.67
Hammer Heads Deluxe,HammerHelm,0.62
AstroPop Deluxe,Astro Duel,0.72
Iggle Pop  Deluxe,Peggle Deluxe,0.73
Insaniquarium  Deluxe,Futuridium EP Deluxe,0.59
Mystery P I  The New York Fortune,Mystery P.I.™ - The New York Fortune,0.9
Pizza Frenzy,Farm Frenzy,0.7
Rocket Mania  Deluxe,Rocket Boots Mania,0.63
Typer Shark  Deluxe,Super Daryl Deluxe,0.7
Venice,Genie,0.73
Life is Feudal Your Own,Life is Feudal: Your Own,0.98
Dead Rising 3,Dead Rising 4,0.92
Just Cause 3,Just Cause™ 3,0.96
Warhammer End Times   Vermintide,Warhammer: End Times - Vermintide,0.95
IL 2 Sturmovik Cliffs of Dover,IL-2 Sturmovik: Cliffs of Dover Blitz Edition,0.77
Legends of Aethereus,Legend of Ares,0.82
Divinity Dragon Commander Beta,Divinity: Dragon Commander,0.89
Angry Birds Space,Too Angry to Space,0.69
The Elder Scrolls Online Tamriel Unlimited,The Elder Scrolls® Online,0.72
StarForge,ShotForge,0.78
Strike Suit Zero Director s Cut,Strike Suit Zero: Director's Cut,0.95
Metal Gear Solid Legacy,MarisaLand Legacy,0.6
Dead Rising 3 DLC1,Dead Rising 4,0.77
Dead Rising 3 DLC2,Dead Rising® 2,0.81
Dead Rising 3 DLC3,Dead Rising 4,0.77
Dead Rising 3 DLC4,Dead Rising 4,0.84
IL 2 Sturmovik Battle of Stalingrad,IL-2 Sturmovik: Battle of Stalingrad,0.96
PAYDAY The Web Series   Episode 1,UAYEB: The Dry Land - Episode 1,0.59
The Witcher 3 Wild Hunt   Expansion Pass,The Witcher® 3: Wild Hunt,0.71
Trine 3 The Artifacts of Power,Trine 3: The Artifacts of Power,0.98
Trove Power Pack,The Power Factory,0.67
Warhammer End Times   Vermintide Sigmar s Blessing,Warhammer: End Times - Vermintide,0.75
Combat Arms,Combat Racers,0.75
Divinity Original Sin,Divinity: Original Sin - Enhanced Edition,0.68
HELLDIVERS,TUNNEL DIVERS,0.7
Fallen Enchantress,Fallen Threats,0.69
Dungeon of the Endless,Dungeon of the Endless™,0.98
Tom Clancy s EndWar,Tom Clancy's EndWar™,0.92
Divinity Original Sin Enhanced Edition,Divinity: Original Sin - Enhanced Edition,0.96
Elemental Fallen Enchantress Map Pack,,0.0
Fallen Enchantress Legendary Heroes Map Pack,Fallen Enchantress: Legendary Heroes,0.88
Super Killer Hornet Resurrection,Super Killer Hornet: Resurrection,0.98
Hunting Unlimited 2010,Hunting Unlimited 2011,0.95
Nether,Feather,0.77
GameMaker Studio,GameMaker Studio 2 Web,0.84
Nether   Believer,,0.0
Nether Arena,Aesthetic Arena,0.74
Penguins Arena Sedna s World,Penguins Arena: Sedna's World,0.95
Shadows on the Vatican   Act I Greed,Shadows on the Vatican Act I: Greed,0.96
Scourge Outbreak,Scourge: Outbreak,0.97
Nosferatu The Wrath of Malachi,Nosferatu: The Wrath of Malachi,0.98
Avencast,Advent,0.71
Grimoire Manastorm,Grimoire: Manastorm,0.97
Ionball 2  Ionstorm,Ionball 2: Ionstorm,0.95
Scourge Outbreak   Blindside,Scourge: Outbreak,0.71
Scourge Outbreak Fan Pack,Scourge: Outbreak,0.76
The Scourge Project Episode 1 and 2,,0.0
Galactic Civilizations I Ultimate Edition,Galactic Civilizations® I: Ultimate Edition,0.98
You Need A Budget 4  YNAB ,,0.0
Gauntlet ,Gauntlet of IRE,0.75
Oddworld New  n  Tasty,Oddworld: New 'n' Tasty,0.89
Cloudberry Kingdom,Cloudberry Kingdom™,0.97
Wanderlust Rebirth,Wanderlust: Rebirth,0.97
Marlow Briggs,Mallow Drops,0.64
Artemis Spaceship Bridge Simulator,Extreme School Driving Simulator,0.64
Rush Bros,Rush Bros.,0.95
RPG Maker 2003,RPG Maker XP,0.77
Judge Dredd Dredd vs Death,Judge Dredd: Dredd vs. Death,0.96
Moonrise,MoonStrike,0.78
Ultionus A Tale of Petty Revenge,Ultionus: A Tale of Petty Revenge,0.98
Lego Star Wars Saga,,0.0
Rogue Shooter The FPS Roguelike,Rogue Shooter: The FPS Roguelike,0.98
Joe Danger 2 The Movie,Joe Danger 2: The Movie,0.98
Edna   Harvey Harvey s New Eyes,Edna & Harvey: Harvey's New Eyes,0.92
Fist of Jesus,Fist of Physics,0.71
8BitBoy,8BitBoy™,0.93
Agarest Generations of War Premium Edition Upgrade,Agarest: Generations of War Zero,0.71
Age of Booty,Algo Bot,0.7
Alpha Kimori Episode One ,Shape of America: Episode One,0.67
Assassin s Creed Liberation,Assassin’s Creed® Liberation HD,0.9
Avadon 2 The Corruption,Avadon 2: The Corruption,0.98
BIT TRIP Presents    Runner2 Future Legend of Rhythm Alien,BIT.TRIP Presents... Runner2: Future Legend of Rhythm Alien,0.92
Call of Juarez Bound in Blood,Call of Juarez®: Bound in Blood,0.97
Consortium Soundtrack and Discoveries,,0.0
Dark Void,Dark Void™,0.95
Dark Void Zero,Dark Void™ Zero,0.97
Deadly Premonition The Director s Cut,Deadly Premonition: The Director's Cut,0.96
Destiny Warriors,Destiny Warriors RPG,0.89
DOOM II Hell on Earth,,0.0
Duke Nukem Manhattan Project,,0.0
Eldritch,Glitch,0.71
ENSLAVED Odyssey to the West Premium Edition,ENSLAVED™: Odyssey to the West™ Premium Edition,0.97
Eschalon Book 2,Eschalon: Book I,0.9
FATE Undiscovered Realms,FATE: Undiscovered Realms,0.98
Grotesque Tactics 2   Dungeons and Donuts,Grotesque Tactics 2 – Dungeons and Donuts,0.98
Grotesque Tactics Evil Heroes,Grotesque Tactics: Evil Heroes,0.98
GT Power Expansion,RACE: Caterham Expansion,0.62
Half Minute Hero Super Mega Neo Climax Ultimate Boy,Half Minute Hero: Super Mega Neo Climax Ultimate Boy,0.99
Half Minute Hero The Second Coming,Half Minute Hero: The Second Coming,0.99
Heretic Shadow of the Serpent Riders,Heretic: Shadow of the Serpent Riders,0.99
Hero Siege   The Karp of Doom  Digital Collector s Edition ,Whispered Secrets: The Story of Tideville Collector's Edition,0.63
HeXen Beyond Heretic,HeXen: Beyond Heretic,0.98
HeXen Deathkings of the Dark Citadel,HeXen: Deathkings of the Dark Citadel,0.99
Jade Empire Special Edition,Jade Empire™: Special Edition,0.96
Ku Shroud of the Morrigan,Ku: Shroud of the Morrigan,0.98
Kung Fury Street Rage,Kung Fury: Street Rage,0.98
Legend of Mysteria,Legend of Mysteria RPG,0.9
Legionwood 2 Rise of the Eternal s Realm,Legionwood 2: Rise of the Eternal's Realm - Director's Cut,0.8
Magrunner Dark Pulse,Magrunner: Dark Pulse,0.98
Master Levels for DOOM II,Master Levels for Doom II,0.88
Moonrise Base Game   Guildmaster s Pack,,0.0
NiGHTS into Dreams   ,NiGHTS Into Dreams,0.87
No Time to Explain,No Time to Relax,0.76
Oddworld Munch s Oddysee,Oddworld: Munch's Oddysee,0.94
Oddworld Stranger s Wrath HD,Oddworld: Stranger's Wrath HD,0.95
On the Rain Slick Precipice of Darkness  Episode One,"Precipice of Darkness, Episode One",0.77
On the Rain Slick Precipice of Darkness  Episode Two,"Precipice of Darkness, Episode Two",0.77
PAC MAN Championship Edition DX ,PAC-MAN™ Championship Edition DX+,0.92
Painkiller Recurring Evil,Painkiller: Resurrection,0.73
Painkiller Hell   Damnation   The Clock Strikes Meat Night,Painkiller Hell & Damnation,0.61
Pier Solar   The Definitive Original Soundtrack,,0.0
Prototype 2 RADNET Access Pack,,0.0
Q U B E ,L U N E,0.67
Q U B E Director s Cut,Q.U.B.E: Director's Cut,0.8
RACE On,RACE 07,0.71
Ridge Racer Unbounded,Ridge Racer™ Unbounded,0.98
RPG Maker Futuristic Tiles Resource Pack,,0.0
RPG Maker High Fantasy Main Party Pack 1,,0.0
RPG Maker Royal Tiles Resource Pack,,0.0
RPG Maker Rural Farm Tiles Resource Pack,,0.0
RPG Maker Tyler Warren First 50 Battler Pack,,0.0
RPG Maker Tyler Warren RPG Battlers  2nd 50,,0.0
RPG Maker Zombie Survival Graphic Pack,Masked Forces: Zombie Survival,0.62
SanctuaryRPG Black Edition,SanctuaryRPG: Black Edition,0.98
Secret Of Magia,Secret of Mana,0.83
Septerra Core,Super Cyborg,0.64
Shadowrun Dragonfall,Shadowrun: Dragonfall - Director's Cut,0.69
Sid Meier s Civilization IV Colonization,Sid Meier's Civilization IV: Colonization,0.96
Skara   The Blade Remains,,0.0
Sleeping Dogs Definitive Edition,Sleeping Dogs: Definitive Edition,0.98
Space Channel 5 Part 2,Space Channel 5: Part 2,0.98
SPY Fox in Dry Cereal,"Spy Fox in ""Dry Cereal""",0.86
Star Trek,StarBreak,0.78
STCC The Game,D: The Game,0.75
STCC II,,0.0
Tales from Space Mutant Blobs Attack,Tales From Space: Mutant Blobs Attack,0.96
Tesla Effect,Dead Effect,0.78
The Forest of Doom,Theatre of Doom,0.79
The Legend of Heroes Trails in the Sky SC,The Legend of Heroes: Trails in the Sky SC,0.99
The LEGO Movie   Videogame,The LEGO Movie 2 Videogame,0.96
The Retro Expansion,The Reaction,0.65
The Ultimate DOOM,The Ultimate Heist,0.74
The WTCC 2010 Pack,,0.0
Two Brothers,Boom Brothers,0.8
Wolfenstein 3D Spear of Destiny,Spear of Destiny,0.68
Wolfenstein The Old Blood ,Wolfenstein: The Old Blood,0.96
Ys The Oath in Felghana,Ys: The Oath in Felghana,0.98
Ys I,,0.0
Ys II,,0.0
Ys VI The Ark of Napishtim,Ys VI: The Ark of Napishtim,0.98
Lilly and Sasha Nexus of Souls,Lilly and Sasha: Guardian Angels,0.61
N P P D  RUSH   The milk of Ultra violet,//N.P.P.D. RUSH//- The milk of Ultraviolet,0.8
RIDE Game,RIDE 3,0.67
Hunted The Demon s Forge,Hunted: The Demon’s Forge™,0.92
Digital Combat Simulator A 10C Warthog,,0.0
Beyond Good   Evil,Beyond Good and Evil™,0.87
Rayman Origins,Rayman® Origins,0.97
Call of Duty Black Ops   OSX,Call of Duty®: Black Ops,0.85
Call of Duty Black Ops   Multiplayer OSX,Call of Duty: Black Ops - Mac Edition,0.7
Close Your Eyes,Close Your Eyes [Old Version],0.68
Burstfire,Burst,0.71
NBA 2K16,NBA 2K19,0.88
Renaissance Heroes,Disposable Heroes,0.69
Chronicles of Mystery The Scorpio Ritual,Chronicles of Mystery: The Scorpio Ritual,0.99
Blood Bowl Chaos Edition,Blood Bowl: Chaos Edition,0.98
Runaway A Road Adventure,"Runaway, A Road Adventure",0.98
Runaway A Twist of Fate,Runaway: A Twist of Fate,0.98
Runaway The Dream of the Turtle,"Runaway, The Dream of The Turtle",0.95
King s Bounty Warriors of the North,King's Bounty: Warriors of the North,0.96
Disciples III Renaissance,Disciples III: Reincarnation,0.75
Might   Magic Heroes VII ,Might & Magic® Heroes® VII,0.9
King s Bounty Dark Side,King's Bounty: Dark Side,0.94
SpellForce 2   Faith in Destiny,SpellForce 2: Faith in Destiny,0.95
Magic The Gathering  Duels of the Planeswalkers 2012,Magic: The Gathering - Duels of the Planeswalkers 2012,0.98
Pinball FX2,Pinball FX3,0.91
Rocksmith 2014,Rocksmith™,0.75
Lichdom Battlemage,Lichdom: Battlemage,0.97
Kings Bounty Legions,King’s Bounty: Legions,0.95
Conquest of Champions,Clan of Champions,0.79
Blackguards Untold Legends,Blackguards 2,0.62
CastleStorm   From Outcast to Savior,,0.0
CastleStorm   The Warrior Queen,,0.0
Pinball FX2   Captain America Table,,0.0
Pinball FX2   Marvel s Ant Man,,0.0
Pinball FX2   Star Wars Pack,,0.0
The Book of Unwritten Tales Extras,The Book of Unwritten Tales 2,0.89
Lost Lands A Hidden Object Adventure,Lost Lands: A Hidden Object Adventure,0.99
Tony Hawk s Pro Skater HD,Pro Skater 2D,0.63
Divine Souls,Divine Souls F2P MMO,0.75
Nail d,nail'd,0.67
Shower With Your Dad Simulator 2015 Do You Still Shower With Your Dad,Shower With Your Dad Simulator 2015: Do You Still Shower With Your Dad,0.99
12 Labours of Hercules III Girl Power,12 Labours of Hercules III: Girl Power,0.99
Earth 2150 The Moon Project,Earth 2150 Trilogy,0.58
Glorkian Warrior The Trials Of Glork,Glorkian Warrior: The Trials Of Glork,0.99
Hostile Waters Antaeus Rising,Hostile Waters: Antaeus Rising,0.98
Ruzh Delta Z,,0.0
Steel   Steam Episode 1,Elea - Episode 1,0.67
Analogue A Hate Story,Analogue: A Hate Story,0.98
FLY N,LYNE,0.67
Xeodrifter,Xeodrifter™,0.95
Might   Magic Duel of Champions,Might & Magic: Clash of Heroes,0.66
WWE 2K15,WWE 2K19,0.88
Galaxy on Fire 2 Full HD,Galaxy on Fire 2™ Full HD,0.98
The Musketeers Victoria s Quest,The Musketeers: Victoria's Quest,0.95
Heroes of Hellas 3 Athens,Heroes of Hellas 3: Athens,0.98
Enigmatis 2 The Mists of Ravenwood,Enigmatis 2: The Mists of Ravenwood,0.99
Nightmares from the Deep 3 Davy Jones,Nightmares from the Deep 3: Davy Jones,0.99
Portal of Evil Stolen Runes Collector s Edition,Portal of Evil: Stolen Runes Collector's Edition,0.97
Time Mysteries 2 The Ancient Spectres,Time Mysteries 2: The Ancient Spectres,0.99
Grim Legends 2 Song of the Dark Swan,Grim Legends 2: Song of the Dark Swan,0.99
Time Mysteries 3 The Final Enigma,Time Mysteries 3: The Final Enigma,0.99
The Beast of Lycan Isle   Collector s Edition,The Last Door: Season 2 - Collector's Edition,0.73
Mountain Crime Requital,Mountain Crime: Requital,0.98
Weather Lord The Successor s Path,Weather Lord: The Successor's Path,0.96
Demon Hunter Chronicles from Beyond,Demon Hunter: Chronicles from Beyond,0.99
Ghost Encounters Deadwood   Collector s Edition,Ghost Encounters: Deadwood - Collector's Edition,0.95
Alex Hunter   Lord of the Mind,theHunter: Call of the Wild™,0.62
Left in the Dark No One on Board,Left in the Dark: No One on Board,0.98
Fairy Tale Mysteries The Puppet Thief Collector s Edition,Fairy Tale Mysteries: The Puppet Thief,0.78
Night Mysteries The Amphora Prisoner,Night Mysteries: The Amphora Prisoner,0.99
Ice Age Continental Drift Arctic Games,,0.0
3D Mini Golf,3D MiniGolf,0.96
Castle Never Judge a Book by its Cover,,0.0
Dark Arcana The Carnival,Dark Arcana: The Carnival,0.98
The Egyptian Prophecy The Fate of Ramses,The Egyptian Prophecy: The Fate of Ramses,0.99
Black Viper Sophia s Fate,Black Viper: Sophia's Fate,0.94
Namariel Legends Iron Lord Premium Edition,Namariel Legends: Iron Lord Premium Edition,0.99
The Clockwork Man The Hidden World,The Clockwork Man: The Hidden World,0.99
Questerium Sinister Trinity HD,Questerium: Sinister Trinity HD Collector's Edition,0.74
Thief   Ghost,Thief™ Gold,0.67
Thief   Opportunist,The Botanist,0.65
Thief   Predator,Aliens vs. Predator™,0.67
Thief   The Bank Heist,Teeny Heist,0.61
Aerena,Arena,0.91
Hero Siege   The Depths of Hell  Collector s Edition ,Whispered Secrets: The Story of Tideville Collector's Edition,0.67
Wizardry Online,Wizard Slime,0.74
PC Gamer,Plat4mer,0.62
Euro Truck Simulator 2   Ice Cold Paint Jobs Pack,Euro Truck Simulator 2,0.62
The Secret World,The Next World,0.8
Divinity II   The Dragon Knight Saga,,0.0
Darkest Dungeon,Darkest Dungeon®,0.97
Tom Clancy s Rainbow Six Vegas 2,Tom Clancy's Rainbow Six® Vegas 2,0.95
Medal of Honor Airborne,Medal of Honor: Airborne,0.98
Carrier Command Gaea Mission,Carrier Command: Gaea Mission,0.98
Unity of Command,Divinity: Dragon Commander,0.67
Avadon The Black Fortress,Avadon: The Black Fortress,0.98
Age of Wonders 2,Age of Wonders,0.93
Age of Wonders Trilogy Soundtrack,Age of Wonders Shadow Magic,0.57
Condemned Criminal Origins,Condemned: Criminal Origins,0.98
Drakensang The River of Time,Drakensang: The River of Time,0.98
